ResourceName,ResourceId,ResourceType,ResourceGroup,Region,EstimatedSavings,RecommendedAction
db12-osdisk-20231020-183654,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/db12-osdisk-20231020-183654,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'E10 LRS Disk' to 'S10 LRS Disk'
papaya_databases,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/papaya_databases,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P40 LRS Disk' to 'E40 LRS Disk'
iasandbox_tempdb,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/iasandbox_tempdb,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
sal_logs,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/sal_logs,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P20 LRS Disk' to 'E20 LRS Disk'
sal_tempdb,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/sal_tempdb,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
sal_files,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/sal_files,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
sal_db,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/sal_db,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
vmwcushapps01_datadisk_0,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/vmwcushapps01_datadisk_0,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
datamart2az-p30stripe3,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe3,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe1,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe1,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe2,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe2,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe10,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe10,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe5,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe5,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe7,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe7,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-logs,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-logs,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe4,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe4,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe8,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe8,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe9,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe9,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
mrtdatamart2az_p50stripe2,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart2az_p50stripe2,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
mrtdatamart2az_p50stripe3,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart2az_p50stripe3,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
mrtdatamart2az_p50stripe7,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart2az_p50stripe7,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
mrtdatamart2az_p50stripe4,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart2az_p50stripe4,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
mrtdatamart2az_p50stripe5,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart2az_p50stripe5,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
mrtdatamart2az_p50stripe6,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart2az_p50stripe6,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
mrtdatamart2az_p50stripe8,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart2az_p50stripe8,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
mrtdatamart2az_p50stripe1,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart2az_p50stripe1,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
mrtdatamart2az_sqllog,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart2az_sqllog,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
datamart2az-p30stripe12,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe12,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe13,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe13,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe14,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe14,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe16,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe16,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe11,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe11,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
datamart2az-p30stripe15,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe15,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
thomagata-pinnacledata,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/thomagata-pinnacledata,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P40 LRS Disk' to 'E40 LRS Disk'
thomagata-mercurydata,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/thomagata-mercurydata,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P60 LRS Disk' to 'E60 LRS Disk'
dev-elderberry_data01,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-dev-pmd-vm01/providers/microsoft.compute/disks/dev-elderberry_data01,microsoft.compute/disks,wcus-dev-pmd-vm01,,,Change tier from 'P40 LRS Disk' to 'E40 LRS Disk'
mdfile02res-osdisk-20251227-081118,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/anteriadryebrookprod/providers/microsoft.compute/disks/mdfile02res-osdisk-20251227-081118,microsoft.compute/disks,anteriadryebrookprod,,,Change tier from 'E10 LRS Disk' to 'S10 LRS Disk'
mrtdatamart1-dblog,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart1-dblog,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
mrtdatamart1-dbp40,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart1-dbp40,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P40 LRS Disk' to 'E40 LRS Disk'
mrtdatamart1-dbp50,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart1-dbp50,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
mrtdatamart1-dbp40-2,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart1-dbp40-2,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P40 LRS Disk' to 'E40 LRS Disk'
vmwcusvdi-whs_datadisk_0,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/vmwcusvdi-whs_datadisk_0,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
wcusdevitvm02-userlog,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/wcusdevitvm02-userlog,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
wcusdevitvm02-userdb,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/wcusdevitvm02-userdb,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P20 LRS Disk' to 'E20 LRS Disk'
wcusdevitvm02-systemdb,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/wcusdevitvm02-systemdb,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
wcusdevitvm02-dpacentral,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/wcusdevitvm02-dpacentral,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P20 LRS Disk' to 'E20 LRS Disk'
banyan_userdb_f,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/banyan_userdb_f,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P40 LRS Disk' to 'E40 LRS Disk'
birch-systemdb,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/birch-systemdb,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P3 LRS Disk' to 'E3 LRS Disk'
birch-dblogs01,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/birch-dblogs01,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
birch-dbdata01,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/birch-dbdata01,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P40 LRS Disk' to 'E40 LRS Disk'
banyan_userdb_g,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/banyan_userdb_g,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P40 LRS Disk' to 'E40 LRS Disk'
vmwcusdba01_systemdbs,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-dba-core-rg01/providers/microsoft.compute/disks/vmwcusdba01_systemdbs,microsoft.compute/disks,wcus-prod-dba-core-rg01,,,Change tier from 'P1 LRS Disk' to 'E1 LRS Disk'
